Conta,Categoria,Data,Gasto USD,SMS_Transactions
NS,Recuperação,2026-04-03,7.10,433
Joao,Broadcast,2026-04-03,3.28,40
Bernardo,Broadcast,2026-04-03,430.80,36612
Rafa,Broadcast,2026-04-03,0.02,2
Havenmove,Standby,2026-04-03,0.29,47
Richard,Standby,2026-04-03,26.26,3293
Naturemove,Standby,2026-04-03,2.16,2
NS,Recuperação,2026-04-02,76.64,7501
Joao,Broadcast,2026-04-02,78.75,7534
Bernardo,Broadcast,2026-04-02,3514.48,294753
Rafa,Broadcast,2026-04-02,2.22,15
Havenmove,Standby,2026-04-02,184.49,22715
Richard,Standby,2026-04-02,254.12,31357
Naturemove,Standby,2026-04-02,0.01,4
NS,Recuperação,2026-04-01,59.24,5281
Joao,Broadcast,2026-04-01,22.24,782
Bernardo,Broadcast,2026-04-01,4226.26,345812
Rafa,Broadcast,2026-04-01,0.09,14
Havenmove,Standby,2026-04-01,239.57,30335
Rehableaf,Standby,2026-04-01,2.15,0
Richard,Standby,2026-04-01,345.38,43625
Naturemove,Standby,2026-04-01,0.04,6
